scene	target	cand	class_1	repro	picked	max_secs	detail_1
v1-split-utc	opp_homerun	91	結果なし	結果なし	選んだ	0.001	adapter: calendar_split: 日付で Train / Val / OOS に切る口が無い。walk_forward_split(walk_forward.py 74 行)は期間を窓の数で等分するだけ。homerun の backend/services/backtest の関数(予測市場の bot の検証の部品)。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample' <venvs>/item_2/src/c91/backend/services/backtest → 2 ファイル(walk_forwa
v1-split-utc	opp_mlflow	-	結果なし	結果なし		0.001	adapter: calendar_split: 口が無い。mlflow は実験の記録係(パラメータ・指標・成果物・札・実行の識別子)で、バックテストも統計の検証も持たない。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample' <venvs>/item_3/mlflow/lib/python3.11/site-packages/mlflow → 3 ファイル(pyspark/ml/__init__.py paddle/_paddle_autolog.py genai/judges/optimizers/dspy.py)
v1-split-utc	opp_freqtrade	75	結果なし	結果なし		0.001	adapter: calendar_split: 日付で Train / Val / OOS に切る口が無い(backtesting の --timerange は 1 区間を選ぶだけ。当たりは tensorboard の記録)。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 1 ファ
v1-split-utc	opp_pysystemtrade	3	結果なし	結果なし		0.002	adapter: calendar_split: 当たりは docs の文だけ(docs/introduction.md・backtesting.md)。Train / Val / OOS を日付で切る関数が無い。PySystemtrade は先物の系統的な売買の枠組み(予測値 → 建玉 → 口座の曲線)。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample' <venvs>/item_1/_dl/c3 → 2 ファイル(docs/introduction.md docs/backtesting.md)
v1-split-utc	opp_luczinsritter	16	結果なし	結果なし		0.001	adapter: calendar_split: 口が無い。候補 16 は yfinance の足の上の小さな事象駆動のバックテストと、その取引の分析(tradeanalysis.py)。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample' <venvs>/item_3/_dl/c16 → 0 ファイル
v1-split-utc	opp_polymarket_fill	95	結果なし	結果なし		0.001	adapter: calendar_split: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample' <venvs>/item_2/src/c95 → 0 ファイル
v1-split-utc	opp_mihircoding_lob	98	結果なし	結果なし		0.001	adapter: calendar_split: 口が無い。候補 98 は価格・時間優先の照合の板(src/orderbook.py)と遅延の模擬(src/latency.py)とゼロ知能の注文流。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample' <venvs>/item_2/src/c98 → 0 ファイル
v1-split-utc	opp_isaaccheng_obsim	103	結果なし	結果なし		0.001	adapter: calendar_split: 口が無い。候補 103 は注文の板の模擬器(照合・配信・Streamlit の画面)。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample' <venvs>/item_2/src/c103 → 0 ファイル
v1-split-utc	opp_sigc	107	結果なし	結果なし		0.001	adapter: calendar_split: 口が無い。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した
v1-split-utc	opp_pybotters	12	結果なし	結果なし		0.001	adapter: calendar_split: 口が無い。pybotters は取引所の HTTP / WebSocket の接続と DataStore。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample' <venvs>/item_0/pybotters/lib/python3.11/site-packages/pybotters → 0 ファイル
v1-split-utc	opp_repro_15	15	結果なし	結果なし		0.001	adapter: calendar_split: 日付で Train / Val / OOS に切る口が無い。OOS の欄(backtest/src/engine.rs L52-L78)は walk-forward の窓の評価の集計。候補 15 の再現(一次資料 https://github.com/Mendl-Labs/BacktestingCore/blob/f8d81ee0b4b65f6fbbf205d011ad2e815054fbc7/ を読むだけで書き写した)。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample
v1-split-utc	opp_repro_88	88	結果なし	結果なし		0.001	adapter: calendar_split: 日付で Train / Val / OOS に切る口が無い(当たりは walk-forward の塊と自動化の文)。候補 88 の再現(一次資料 https://github.com/rmbell09-lang/tradesight/blob/8b2de128b5180d05e87a51a191685298e2e888e6/ を読むだけで書き写した)。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample' <read>/tradesight → 6 ファイル(src/str
v1-split-jst	opp_homerun	91	結果なし	結果なし	選んだ	0.001	adapter: calendar_split: 日付で Train / Val / OOS に切る口が無い。walk_forward_split(walk_forward.py 74 行)は期間を窓の数で等分するだけ。homerun の backend/services/backtest の関数(予測市場の bot の検証の部品)。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample' <venvs>/item_2/src/c91/backend/services/backtest → 2 ファイル(walk_forwa
v1-split-jst	opp_mlflow	-	結果なし	結果なし		0.001	adapter: calendar_split: 口が無い。mlflow は実験の記録係(パラメータ・指標・成果物・札・実行の識別子)で、バックテストも統計の検証も持たない。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample' <venvs>/item_3/mlflow/lib/python3.11/site-packages/mlflow → 3 ファイル(pyspark/ml/__init__.py paddle/_paddle_autolog.py genai/judges/optimizers/dspy.py)
v1-split-jst	opp_freqtrade	75	結果なし	結果なし		0.001	adapter: calendar_split: 日付で Train / Val / OOS に切る口が無い(backtesting の --timerange は 1 区間を選ぶだけ。当たりは tensorboard の記録)。freqtrade は足の戦略の bot とそのバックテスト(OHLCV の足と取引所の接続が前提)。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample' <venvs>/item_3/freqtrade/lib/python3.11/site-packages/freqtrade → 1 ファ
v1-split-jst	opp_pysystemtrade	3	結果なし	結果なし		0.002	adapter: calendar_split: 当たりは docs の文だけ(docs/introduction.md・backtesting.md)。Train / Val / OOS を日付で切る関数が無い。PySystemtrade は先物の系統的な売買の枠組み(予測値 → 建玉 → 口座の曲線)。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample' <venvs>/item_1/_dl/c3 → 2 ファイル(docs/introduction.md docs/backtesting.md)
v1-split-jst	opp_luczinsritter	16	結果なし	結果なし		0.001	adapter: calendar_split: 口が無い。候補 16 は yfinance の足の上の小さな事象駆動のバックテストと、その取引の分析(tradeanalysis.py)。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample' <venvs>/item_3/_dl/c16 → 0 ファイル
v1-split-jst	opp_polymarket_fill	95	結果なし	結果なし		0.001	adapter: calendar_split: 口が無い。候補 95 は Polymarket の指値の待ち行列の模型(fillmodel.py)。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample' <venvs>/item_2/src/c95 → 0 ファイル
v1-split-jst	opp_mihircoding_lob	98	結果なし	結果なし		0.001	adapter: calendar_split: 口が無い。候補 98 は価格・時間優先の照合の板(src/orderbook.py)と遅延の模擬(src/latency.py)とゼロ知能の注文流。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample' <venvs>/item_2/src/c98 → 0 ファイル
v1-split-jst	opp_isaaccheng_obsim	103	結果なし	結果なし		0.001	adapter: calendar_split: 口が無い。候補 103 は注文の板の模擬器(照合・配信・Streamlit の画面)。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample' <venvs>/item_2/src/c103 → 0 ファイル
v1-split-jst	opp_sigc	107	結果なし	結果なし		0.001	adapter: calendar_split: 口が無い。sigc は .sig の信号の言語と日足の価格の表(parquet)だけを受け取る。試したこと: 実行ファイルは 2026-09-25 18:28 UTC のリードの容量の片付け(commit 08aaad4)で消えた。消える前に打った sigc --help と sigc run --help の出力(opponents/attempts/i3_r1_scenekeeper_sigc_help.log)で判断した
v1-split-jst	opp_pybotters	12	結果なし	結果なし		0.002	adapter: calendar_split: 口が無い。pybotters は取引所の HTTP / WebSocket の接続と DataStore。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample' <venvs>/item_0/pybotters/lib/python3.11/site-packages/pybotters → 0 ファイル
v1-split-jst	opp_repro_15	15	結果なし	結果なし		0.001	adapter: calendar_split: 日付で Train / Val / OOS に切る口が無い。OOS の欄(backtest/src/engine.rs L52-L78)は walk-forward の窓の評価の集計。候補 15 の再現(一次資料 https://github.com/Mendl-Labs/BacktestingCore/blob/f8d81ee0b4b65f6fbbf205d011ad2e815054fbc7/ を読むだけで書き写した)。 探した方法: grep -rliE 'train.?val/val_end/holdout/out.?of.?sample
