draw,null_A_futures,null_B_futures,null_A_1321,null_B_1321
0,0.20084161281522492,10.418701585024179,12.360053456715127,10.676307981526602
1,0.10110857380835858,10.987877848249326,23.580630035947394,24.271641503692262
2,-5.841089760599449,3.1659076701471616,38.524760279903894,36.25125114459805
3,-0.7918697423906605,8.839887381946035,19.112357548837537,16.744086779203663
4,13.866454108051823,23.341599289810105,15.29590039109344,12.06109181306185
5,4.167161172510612,13.027922113628994,34.98490935914847,32.6027855431739
6,11.65961306990778,20.251842197709806,14.936519519983248,13.712285165864078
7,-2.7456427420562215,7.265139469716026,14.0529309180126,12.979390631113478
8,-3.9283391006431874,5.236652080420074,13.96593151624359,12.780541500128763
9,5.041776598161466,13.851681308344673,15.414584318814308,14.679021744653934
10,10.739617789478073,20.015131933579262,34.41460059290104,30.791625068779034
11,4.639102889990364,13.474240753212076,17.19488128885354,16.652521405030857
12,3.4428993406449457,12.365611378015359,48.234003816721895,44.86728107353369
13,-3.508385417716447,6.442730641570341,28.568694716690544,25.540790588483652
14,-4.171577704617726,6.834979708299386,52.53392283787983,50.80171157603465
15,-1.2437936164650678,9.277064561870807,19.84414029902287,16.610803519539594
16,-3.1928846650409985,5.8668341871148915,67.99315520925205,65.93073654174556
17,12.04715174855732,21.452284834960313,14.598659823822539,11.804309940961772
18,15.376883698299391,24.268921908933063,40.79449375662379,36.43305815563278
19,-2.2927563463792136,7.320414638821049,54.307922613731904,51.40858741991573
20,-4.164326856003651,5.817697058141479,10.107748917919315,8.076202723427237
21,-1.3872964963488983,9.09317478401546,12.719538856805793,10.904425780828166
22,2.3582614417254115,14.188171680647251,24.99599639853838,22.718271465508025
23,9.339020194697099,19.137231989626443,36.068975231949544,33.509700967362726
24,-3.4453263190305528,6.386862367866968,13.52525925352058,12.353815374380371
25,-2.881449970269656,6.995832987643302,21.40626516703889,18.608960829260823
26,16.108618452827077,25.16923882488286,42.510770530032985,40.842193989952904
27,9.715367442154784,18.739167813597575,48.381096331926116,45.942241399297565
28,0.061583553200368936,9.243075198520511,18.473722207650383,15.712878876634464
29,0.8916554068585233,9.72987123864859,11.647722219612696,9.804602230948746
30,-3.177971841294179,7.124103219994605,34.739542335564614,32.80361769745354
31,19.419768855632963,28.468169414242343,13.91365586446912,12.530495243549833
32,-4.579160754643552,5.194899883431208,21.01638805359919,21.529309394590243
33,-3.349482091017894,7.084227403563901,18.523495519932958,18.534377637158585
34,-0.9142472383299733,10.215241062056688,8.888566105980631,5.0063272690851
35,-6.088890790762233,2.9926598140291705,12.59834093835543,11.098044518617328
36,-0.6535309152688363,9.590862525300453,57.05060692782283,54.3197821269288
37,0.38896212075518793,11.393117744082023,18.493297141514645,18.60303632927144
38,0.07049787176097047,10.423388863029208,9.163473091948404,6.714674458519039
39,7.229091642552195,15.687769807968296,17.89196465695182,17.555450907317926
40,-2.8091671337167483,6.674528918448471,54.94904116996459,51.24273079038257
41,6.898203390170263,15.220091205058672,24.78919101723545,22.728793413684627
42,13.637297697727776,23.523667853579543,9.399165245384607,6.8398786595602745
43,2.064194735544858,13.52354070362016,24.490563875766075,21.526144279050634
44,17.497946197247675,27.56197059492347,18.36837813915663,18.008917127556913
45,12.813585623020174,22.71786781492792,21.844204237838103,18.6920039557495
46,-3.9583973098377836,5.98982561505435,17.779090701952082,14.879865282203264
47,1.7293031310268243,12.261503697497703,24.046804693861617,21.080023413734946
48,-3.440239760262429,6.274878782851333,27.128722728595164,25.151272356855923
49,-1.894205315027201,8.070487376057699,8.30428511114574,5.04414120215341
50,11.655610457140481,20.87215195638551,21.307526912165823,18.51503802156291
51,15.244013668929702,24.41459976032951,15.027735155749145,14.25469093246781
52,-3.182299757845095,6.940219696446887,10.669444000831323,8.774598845335646
53,6.210103874074405,15.298744434792845,12.017681085365739,10.525696513897545
54,-1.554188267082859,7.884314731649896,35.55194329739092,31.285830731673187
55,-3.670743619825186,6.004245260774397,8.454812851642467,5.797718768059512
56,-0.318217183460276,8.899567247149037,16.05583593933802,15.38705672169128
57,1.807337602275621,11.056604737478139,13.887094426257324,12.735092834487588
58,-0.9353084492536285,9.724589086028628,17.3198780442349,16.77179411926256
59,-3.1553524104604698,6.062660183541437,35.818665997869424,33.691587106051045
60,3.2274285409595467,12.084100770599036,15.533353217656924,14.902611438988245
61,-4.722758657031559,5.176665765652677,32.748274555192324,30.499823273870422
62,7.453963384100037,17.08915248571926,41.084641072829385,37.61501936731818
63,1.1866893490169665,12.42035614311527,42.244346320439135,39.58867993881552
64,4.195325386203692,12.786204238052763,19.16716612802787,19.13540943982012
65,4.142081369305545,15.423288834961822,19.16464054604743,19.375541185230396
66,-3.5446132519079816,5.881382455650411,40.03838471023107,38.11471583346857
67,-3.699461146252473,5.151273756071549,32.807089877177006,30.96379577306451
68,-5.957008079188822,3.384661495986685,42.192230241532556,39.6661756595403
69,-2.0294771757724734,8.044674822015285,31.503646742664596,29.126991686480814
70,5.7804349264763895,14.34153529182918,29.482445461839657,27.19719704791075
71,33.649353249425204,42.81578365198074,31.021868979834174,27.988189473200222
72,-4.87319692018035,4.429812096768193,13.408043645583316,12.095040921853622
73,-4.309706747055975,5.234567332233132,20.7291811912414,20.68586031953758
74,-2.907946928095197,6.321857917457006,15.294125421030637,14.314761861193565
75,2.9899603169950817,12.572260891101823,24.041807476321946,25.60917743063335
76,-3.8016878512663363,5.666943255158982,29.598948331959985,27.258793185780746
77,15.604593335916853,24.80807766825601,21.263322676463208,18.44171174198045
78,0.30384267475731336,11.239301151490132,21.287180316020027,18.264758033111264
79,5.3263403099972635,14.223464402981156,27.720554818674515,30.172527248236925
80,-3.145951685791652,6.796675788765603,63.724296272580304,61.484845253489496
81,-4.364593646639728,5.202918094239115,15.347038387618108,14.610091653797834
82,5.398402184768729,14.436999655417209,8.933892113725848,6.488436548081111
83,18.115192340512078,27.29111865959558,34.319889567425776,34.51543510937188
84,1.4037750422339472,10.703898080380224,64.12025283115986,60.88777699344453
85,5.324780975269018,15.001910135133421,12.376186203039806,10.645657850634253
86,0.672886227124197,9.820220131104483,17.515454214048276,17.302875856082256
87,-5.024480602197313,4.577290844088684,40.560689484372965,38.99681742709437
88,1.0300322392102854,10.072749760132638,11.131144387970629,9.275384485809107
89,24.68753553335354,33.7156257749942,11.001538973943443,9.194623507191652
90,4.672204731498246,13.986636708543971,22.19775155761114,19.685758015963145
91,0.4908718686592174,9.78554563293594,45.62412151291059,42.555948865178024
92,22.104398891214522,31.530445357091075,20.303209395440025,18.112931979509344
93,0.11904902684208618,8.798842921337304,11.802907440953616,10.063048893453026
94,-2.2332925638303127,7.78767414387762,16.849312582933695,13.823549518181933
95,-5.628314405693059,4.23611853106846,17.124964765716264,14.479197901918713
96,8.919409029699688,17.91556650941868,40.653965149374294,39.16779514365023
97,-4.7271090169834435,5.515912476144218,13.41710233045057,12.084577419858864
98,-2.3063310144767306,6.932707163664492,29.13190891582954,25.680324807548295
99,-2.9788310347644935,6.582257287291912,53.575132070173794,50.847622125804165
100,-1.8667467939459832,7.9685050394396475,25.725278966300383,22.7378377171514
101,0.20387605595305294,9.472994987196007,30.210227810039335,26.936780143520494
102,-5.886441906896493,3.5471971980210935,22.916502602622714,23.98101633892312
103,8.69994874454856,17.757280525143724,19.865268809373113,20.24581803716235
104,32.40411535759284,42.181372643242256,25.59910979676339,22.138702586489707
105,-3.512301141856777,7.141878581395056,17.448835543842957,17.091924797561457
106,-3.0353215102495192,6.9474633490163935,14.28338029391507,12.686911409700052
107,6.7228208011119355,15.89745898911733,26.67284053077475,24.244815098034422
108,10.419969990060045,19.611595605716197,26.16612659742853,23.527147425181163
109,-3.25594122171208,5.79493247501222,37.233302877213035,40.818709841071716
110,-1.3101082673154498,7.789670943476283,8.569144533231913,5.979326310140823
111,0.5184009533995789,9.304772084816845,22.920440878924232,21.95929328721993
112,6.151121030468257,15.281951799554175,20.307588191380912,20.218669175940505
113,15.913681882347133,25.874577788973316,28.41116371890955,25.760257867060957
114,10.637785387763492,19.86744379854793,28.844903648691293,26.58333644027947
115,9.447690255843924,18.468676635285693,15.867258324426825,12.23340928440461
116,0.05057650329529161,9.217834916100747,24.7528928633212,21.01498236464638
117,-0.7129805804659525,10.55642294524122,16.36207298308981,15.753440522693538
118,7.287201450842289,16.412889150849512,22.328136826437397,23.32521769014913
119,-0.18281757009244062,10.975427405597644,15.58282421744985,14.416924048908758
120,5.875655273826136,14.951839929605995,30.358118344679784,27.809330915929554
121,11.232533394048195,21.095192393867602,38.02376704488645,35.46432434142868
122,-0.3763582086066582,10.436664116353374,18.358883946816803,18.15221550629262
123,1.217972919122143,9.63419208632412,36.307671564848874,34.47358738225969
124,2.55866737166879,12.655377679147142,32.77983062527705,28.817170803837286
125,7.797240880474599,17.391894214473776,14.195148992260155,12.965386963345441
126,10.725358483311258,19.759953900064627,25.040463796819566,22.59328171838939
127,-5.05305206019019,4.529188660571021,16.887063335565824,16.51615401664413
128,-2.4571519435724456,6.847145533722467,16.10104938765417,15.541020954225376
129,9.050207570319234,18.71327499697689,24.20008466527172,21.54489983312441
130,10.838264497694913,20.040378411806188,21.258131914425146,18.51432486388932
131,-0.2048483846398835,10.444392572600362,14.947884884515531,13.811652474843106
132,12.490893877177768,21.415870078302643,20.897813551042645,17.898115520270373
133,-4.607126415687002,4.628662909930872,51.00547266023959,48.47571008898517
134,6.156275410793539,15.08799970163838,66.30132825678186,63.49201667547077
135,-0.3755624456620927,8.727207584467324,17.743572490125022,14.765345115769426
136,1.3800394277026986,10.583228887061507,9.86079122307449,7.244605191413015
137,-1.259687983759731,8.316900690297047,11.14929384995855,8.957541729096159
138,9.779724070322304,19.36040586700898,15.474392445348107,14.35722707977431
139,2.844360624701367,13.766999493082736,61.7968601654118,59.28029319479904
140,-3.4832999416225077,7.3043133633113175,53.26943085520254,50.654215081889305
141,-2.938953157231443,5.798647173463878,17.672388584731582,17.479075260508598
142,-0.4476230166329862,9.88634439140268,21.920450762470768,19.637718410788203
143,39.583497861626455,49.269790644962455,34.29233634128113,31.835615723780133
144,19.23070253285909,28.103035434296768,10.421351168292762,8.40670095965974
145,5.275883303779291,14.625627870036556,12.037677351760353,10.100951795015298
146,4.0169881504140195,13.320031177582065,13.544671035852181,12.380273190165274
147,11.210378726543782,19.928017917015513,29.83465082936179,26.7684376621095
148,-1.8792927879177377,5.89118488037251,14.50433695876902,11.400996264324569
149,3.8084695836025304,13.116547804690592,13.8346521325179,12.581583808135175
150,-2.096714322870627,8.93027448157392,15.13092174611522,14.341401141888774
151,2.400415079545177,11.151720833708511,28.40587407784067,27.787686275246095
152,16.83498042795572,26.13803640062081,21.647579648974833,18.673589432393
153,-3.3823417612839486,6.616574912910756,45.12345770578541,42.784967402164284
154,-4.583963091040738,5.05655247616064,21.189703260938327,18.243659929372626
155,-0.9311190576248695,7.81724317173588,28.602873922694474,26.29723772938702
156,-4.038574706722325,6.4189160953219595,20.3216516999686,20.91894586264663
157,3.879074093358819,12.73865402764123,15.09925160506393,11.795887647298397
158,-1.7771174976171007,8.770394897177935,16.72282608006932,15.887052951118294
159,-0.6867409735844668,8.174341411889255,28.97756536204384,26.04767866311874
160,26.05092040958742,35.139658433173395,29.982754503548836,26.31145420586551
161,-1.2287311225585065,9.854165412539317,35.81677038721341,32.45338916028136
162,2.031213443171817,11.344102219852077,66.60422930265179,64.12118585964161
163,15.246071454617901,24.753159307756686,6.633477907384699,3.6288308300753656
164,6.239036825810208,15.233696683047825,23.22982210936573,20.601919219646305
165,21.07653584905662,30.20895864666098,95.65914689955017,92.76871647066265
166,5.368471519433613,14.792896618232396,21.98050305104847,18.422368882258397
167,10.038337617808363,19.915192706600145,21.78755718955662,22.604661454504367
168,-3.644802162424965,5.913898468308258,17.649704936337855,17.51744317144116
169,-1.8349825523757026,6.9093425678502065,15.463781289515202,14.761614856839504
170,0.5142283242129507,10.391628891960163,15.9244926480618,14.028157205122133
171,-3.36458598837391,6.418198691116739,15.30642523397098,14.151291951307957
