date,time_utc,type,source,confidence,note
2005-01-07,2005-01-07T13:30:00Z,NFP,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-01-19,2005-01-19T13:30:00Z,CPI,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-02-02,2005-02-02T19:15:00Z,FOMC,verified_web,medium,"fomchistorical2005.htm 'February 1-2 Meeting - 2005' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2005-02-04,2005-02-04T13:30:00Z,NFP,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-02-23,2005-02-23T13:30:00Z,CPI,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-03-04,2005-03-04T13:30:00Z,NFP,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-03-22,2005-03-22T19:15:00Z,FOMC,verified_web,medium,"fomchistorical2005.htm 'March 22 Meeting - 2005' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2005-03-23,2005-03-23T13:30:00Z,CPI,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-04-01,2005-04-01T13:30:00Z,NFP,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-04-20,2005-04-20T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-05-03,2005-05-03T18:15:00Z,FOMC,verified_web,medium,"fomchistorical2005.htm 'May 3 Meeting - 2005' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2005-05-06,2005-05-06T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-05-18,2005-05-18T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-06-03,2005-06-03T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-06-15,2005-06-15T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-06-30,2005-06-30T18:15:00Z,FOMC,verified_web,medium,"fomchistorical2005.htm 'June 29-30 Meeting - 2005' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2005-07-08,2005-07-08T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-07-14,2005-07-14T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-08-05,2005-08-05T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-08-09,2005-08-09T18:15:00Z,FOMC,verified_web,medium,"fomchistorical2005.htm 'August 9 Meeting - 2005' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2005-08-16,2005-08-16T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-09-02,2005-09-02T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-09-15,2005-09-15T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-09-20,2005-09-20T18:15:00Z,FOMC,verified_web,medium,"fomchistorical2005.htm 'September 20 Meeting - 2005' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2005-10-07,2005-10-07T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-10-14,2005-10-14T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-11-01,2005-11-01T19:15:00Z,FOMC,verified_web,medium,"fomchistorical2005.htm 'November 1 Meeting - 2005' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2005-11-04,2005-11-04T13:30:00Z,NFP,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-11-16,2005-11-16T13:30:00Z,CPI,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-12-02,2005-12-02T13:30:00Z,NFP,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2005-12-13,2005-12-13T19:15:00Z,FOMC,verified_web,medium,"fomchistorical2005.htm 'December 13 Meeting - 2005' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2005-12-15,2005-12-15T13:30:00Z,CPI,verified_web,high,bls.gov/schedule/2005/home.htm text schedule (08:30 ET)
2006-01-06,2006-01-06T13:30:00Z,NFP,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-01-18,2006-01-18T13:30:00Z,CPI,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-01-31,2006-01-31T19:15:00Z,FOMC,verified_web,medium,"fomchistorical2006.htm 'January 31 Meeting - 2006' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2006-02-03,2006-02-03T13:30:00Z,NFP,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-02-22,2006-02-22T13:30:00Z,CPI,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-03-10,2006-03-10T13:30:00Z,NFP,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-03-16,2006-03-16T13:30:00Z,CPI,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-03-28,2006-03-28T19:15:00Z,FOMC,verified_web,medium,"fomchistorical2006.htm 'March 27-28 Meeting - 2006' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2006-04-07,2006-04-07T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-04-19,2006-04-19T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-05-05,2006-05-05T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-05-10,2006-05-10T18:15:00Z,FOMC,verified_web,medium,"fomchistorical2006.htm 'May 10 Meeting - 2006' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2006-05-17,2006-05-17T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-06-02,2006-06-02T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-06-14,2006-06-14T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-06-29,2006-06-29T18:15:00Z,FOMC,verified_web,medium,"fomchistorical2006.htm 'June 28-29 Meeting - 2006' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2006-07-07,2006-07-07T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-07-19,2006-07-19T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-08-04,2006-08-04T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-08-08,2006-08-08T18:15:00Z,FOMC,verified_web,medium,"fomchistorical2006.htm 'August 8 Meeting - 2006' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2006-08-16,2006-08-16T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-09-01,2006-09-01T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-09-15,2006-09-15T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-09-20,2006-09-20T18:15:00Z,FOMC,verified_web,medium,"fomchistorical2006.htm 'September 20 Meeting - 2006' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2006-10-06,2006-10-06T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-10-18,2006-10-18T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-10-25,2006-10-25T18:15:00Z,FOMC,verified_web,medium,"fomchistorical2006.htm 'October 24-25 Meeting - 2006' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2006-11-03,2006-11-03T13:30:00Z,NFP,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-11-16,2006-11-16T13:30:00Z,CPI,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-12-08,2006-12-08T13:30:00Z,NFP,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2006-12-12,2006-12-12T19:15:00Z,FOMC,verified_web,medium,"fomchistorical2006.htm 'December 12 Meeting - 2006' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2006-12-15,2006-12-15T13:30:00Z,CPI,verified_web,high,bls.gov/schedule/2006/home.htm text schedule (08:30 ET)
2007-01-05,2007-01-05T13:30:00Z,NFP,verified_web,high,bls.gov/schedule/2007/home.htm text schedule (08:30 ET)
2007-01-18,2007-01-18T13:30:00Z,CPI,verified_web,high,bls.gov/schedule/2007/home.htm text schedule (08:30 ET)
2007-01-31,2007-01-31T19:15:00Z,FOMC,verified_web,medium,"fomchistorical2007.htm 'January 30-31 Meeting - 2007' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2007-02-02,2007-02-02T13:30:00Z,NFP,verified_web,high,bls.gov/schedule/2007/home.htm text schedule (08:30 ET)
2007-02-21,2007-02-21T13:30:00Z,CPI,verified_web,high,bls.gov/schedule/2007/home.htm text schedule (08:30 ET)
2007-03-09,2007-03-09T13:30:00Z,NFP,verified_web,high,bls.gov/schedule/2007/home.htm text schedule (08:30 ET)
2007-03-16,2007-03-16T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2007/home.htm text schedule (08:30 ET)
2007-03-21,2007-03-21T18:15:00Z,FOMC,verified_web,medium,"fomchistorical2007.htm 'March 20-21 Meeting - 2007' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2007-04-06,2007-04-06T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2007/home.htm text schedule (08:30 ET)
2007-04-17,2007-04-17T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2007/home.htm text schedule (08:30 ET)
2007-05-04,2007-05-04T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2007/home.htm text schedule (08:30 ET)
2007-05-09,2007-05-09T18:15:00Z,FOMC,verified_web,medium,"fomchistorical2007.htm 'May 9 Meeting - 2007' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2007-05-15,2007-05-15T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2007/home.htm text schedule (08:30 ET)
2007-06-01,2007-06-01T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2007/home.htm text schedule (08:30 ET)
2007-06-15,2007-06-15T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2007/home.htm text schedule (08:30 ET)
2007-06-28,2007-06-28T18:15:00Z,FOMC,verified_web,medium,"fomchistorical2007.htm 'June 27-28 Meeting - 2007' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2007-07-06,2007-07-06T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2007/home.htm text schedule (08:30 ET)
2007-07-18,2007-07-18T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2007/home.htm text schedule (08:30 ET)
2007-08-03,2007-08-03T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2007/home.htm text schedule (08:30 ET)
2007-08-07,2007-08-07T18:15:00Z,FOMC,verified_web,medium,"fomchistorical2007.htm 'August 7 Meeting - 2007' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2007-08-15,2007-08-15T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2007/home.htm text schedule (08:30 ET)
2007-09-07,2007-09-07T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2007/home.htm text schedule (08:30 ET)
2007-09-18,2007-09-18T18:15:00Z,FOMC,verified_web,medium,"fomchistorical2007.htm 'September 18 Meeting - 2007' (heading/doc-name agree); 14:15 ET for regularly scheduled meetings (press-conference meetings were '1h45m earlier', https://www.federalreserve.gov/newsevents/pressreleases/monetary20110324a.htm)"
2007-09-19,2007-09-19T12:30:00Z,CPI,verified_web,high,bls.gov/schedule/2007/home.htm text schedule (08:30 ET)
2007-10-05,2007-10-05T12:30:00Z,NFP,verified_web,high,bls.gov/schedule/2007/home.htm text schedule (08:30 ET)
