数え方,線,費用の通り,遅れ_秒,最初の行動,n,合計_bp,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE,日数
連鎖の中で最初に建玉を作った行動,①3択A(従来),費用あり(主のc),1,順張り,1056,-5661.276282,-5.081024,-13.518623,1.616208,0.694129,-5.363477,0.445089,192
連鎖の中で最初に建玉を作った行動,①3択A(従来),費用あり(主のc),1,逆張り,549,-703.200024,-0.995461,-4.617144,3.020655,0.553734,-1.370050,0.370985,201
連鎖の中で最初に建玉を作った行動,①3択A(従来),費用あり(主のc),1,入らない,395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,179
連鎖の中で最初に建玉を作った行動,①3択A(従来),費用あり(主のc),1,全部,2000,-6364.476306,-0.491637,-7.931250,1.002225,0.518500,-2.575934,0.269713,223
連鎖の中で最初に建玉を作った行動,①3択A(順張り利確5bp),費用あり(主のc),1,順張り,1056,-5862.683883,-1.574253,-12.958254,3.059676,0.545455,-4.900835,0.423725,192
連鎖の中で最初に建玉を作った行動,①3択A(順張り利確5bp),費用あり(主のc),1,逆張り,549,-696.999694,-0.995461,-4.617144,3.020655,0.553734,-1.340511,0.367750,201
連鎖の中で最初に建玉を作った行動,①3択A(順張り利確5bp),費用あり(主のc),1,入らない,395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,179
連鎖の中で最初に建玉を作った行動,①3択A(順張り利確5bp),費用あり(主のc),1,全部,2000,-6559.683577,0.000000,-6.645670,3.016458,0.440000,-2.503585,0.271261,223
連鎖の中で最初に建玉を作った行動,完全な判断(値段)A,費用あり(主のc),1,順張り,922,4572.221868,3.958366,-1.287364,10.213875,0.304772,5.220292,0.455665,199
連鎖の中で最初に建玉を作った行動,完全な判断(値段)A,費用あり(主のc),1,逆張り,1078,4723.248789,2.712592,-1.353762,8.030922,0.326531,3.918685,0.301816,218
連鎖の中で最初に建玉を作った行動,完全な判断(値段)A,費用あり(主のc),1,入らない,0,0.000000,,,,,,,0
連鎖の中で最初に建玉を作った行動,完全な判断(値段)A,費用あり(主のc),1,全部,2000,9295.470657,3.290480,-1.352263,9.028635,0.316500,4.113303,0.242846,223
1 件目のプリントの行動,①3択A(従来),費用あり(主のc),1,順張り,1047,-5617.776145,-5.071229,-13.503882,1.594453,0.694365,-5.416358,0.445396,192
1 件目のプリントの行動,①3択A(従来),費用あり(主のc),1,逆張り,435,-640.022033,-0.995461,-4.427477,2.327397,0.567816,-1.469112,0.361458,180
1 件目のプリントの行動,①3択A(従来),費用あり(主のc),1,入らない,518,-106.678128,0.000000,0.000000,0.000000,0.121622,-0.138917,0.234575,196
1 件目のプリントの行動,①3択A(従来),費用あり(主のc),1,全部,2000,-6364.476306,-0.491637,-7.931250,1.002225,0.518500,-2.575934,0.269713,223
1 件目のプリントの行動,①3択A(順張り利確5bp),費用あり(主のc),1,順張り,1047,-5829.117991,-1.579582,-12.940171,3.058615,0.546323,-4.970022,0.426011,192
1 件目のプリントの行動,①3択A(順張り利確5bp),費用あり(主のc),1,逆張り,435,-641.950065,-0.995461,-4.427477,2.327397,0.567816,-1.470898,0.361841,180
1 件目のプリントの行動,①3択A(順張り利確5bp),費用あり(主のc),1,入らない,518,-88.615521,0.000000,0.000000,0.000000,0.117761,-0.149660,0.223442,196
1 件目のプリントの行動,①3択A(順張り利確5bp),費用あり(主のc),1,全部,2000,-6559.683577,0.000000,-6.645670,3.016458,0.440000,-2.503585,0.271261,223
1 件目のプリントの行動,完全な判断(値段)A,費用あり(主のc),1,順張り,922,4572.221868,3.958366,-1.287364,10.213875,0.304772,5.220292,0.455665,199
1 件目のプリントの行動,完全な判断(値段)A,費用あり(主のc),1,逆張り,1078,4723.248789,2.712592,-1.353762,8.030922,0.326531,3.918685,0.301816,218
1 件目のプリントの行動,完全な判断(値段)A,費用あり(主のc),1,入らない,0,0.000000,,,,,,,0
1 件目のプリントの行動,完全な判断(値段)A,費用あり(主のc),1,全部,2000,9295.470657,3.290480,-1.352263,9.028635,0.316500,4.113303,0.242846,223
