scene_id	target	correctness	reproducibility	detail_1
p7-fill-model-swap	opp_backtrader@preload=false	結果なし	結果なし	出所の検めで採点しない: 設定の操作 backtrader.brokers.bbroker.BackBroker.set_slippage_fixed(broker.set_slippage_fixed(12245 = 12345 - 場面の約定の価格 100))は ['まだ届いていない入力'] から決めた(正の定義 A (1): 実行の前に利用者が知りうる物と、その操作までに戦略が受けた物だけから決まる設定でない) / 約定の模型を渡す口は無い。公開の設定 set_slippage_fixed(12245, slip_open=True, slip_match=True, slip_out=True) で始値 100 からの滑りとして 12345 に埋めた。fills=[{'price': 12345.0, 'size': 1, 'comm': 0.0, 'dt': 738841.0}]
p7-fill-model-swap	opp_backtrader@preload=true	結果なし	結果なし	出所の検めで採点しない: 設定の操作 backtrader.brokers.bbroker.BackBroker.set_slippage_fixed(broker.set_slippage_fixed(12245 = 12345 - 場面の約定の価格 100))は ['まだ届いていない入力'] から決めた(正の定義 A (1): 実行の前に利用者が知りうる物と、その操作までに戦略が受けた物だけから決まる設定でない) / 約定の模型を渡す口は無い。公開の設定 set_slippage_fixed(12245, slip_open=True, slip_match=True, slip_out=True) で始値 100 からの滑りとして 12345 に埋めた。fills=[{'price': 12345.0, 'size': 1, 'comm': 0.0, 'dt': 738841.0}]
p3-bar	opp_qf_lib	結果なし	結果なし	TypeError: 'float' object is not subscriptable
p6-place-then-cancel	opp_rqalpha	結果なし	結果なし	CustomException: function cancel_order: invalid order argument, expect a value of type <class 'rqalpha.model.order.Order'>, got None (type: <class 'NoneType'>)
p6-cancel-notice	opp_rqalpha	結果なし	結果なし	CustomException: function cancel_order: invalid order argument, expect a value of type <class 'rqalpha.model.order.Order'>, got None (type: <class 'NoneType'>)
p6-fill-seen-by-strategy	opp_rqalpha	結果なし	結果なし	CustomException: 'NoneType' object has no attribute 'filled_quantity'
p7-fill-model-swap	opp_rqalpha	結果なし	結果なし	CustomException: 'NoneType' object has no attribute 'filled_quantity'
p7-cost-model-swap	opp_rqalpha	結果なし	結果なし	CustomException: 'NoneType' object has no attribute 'filled_quantity'
p7-cost-per-unit	opp_rqalpha	結果なし	結果なし	CustomException: 'NoneType' object has no attribute 'filled_quantity'
p7-account-swap	opp_rqalpha	結果なし	結果なし	CustomException: 'NoneType' object has no attribute 'filled_quantity'
p6-place-then-cancel	opp_ziplime@label=close	結果なし	結果なし	取消のあと、走行が止まった。context.cancel_order は blotter.order_cancelled を呼び、これが未決の注文の辞書を資産ではなく資産の番号(order.asset.sid)で引くので(in_memory_blotter.py 74 行、登録は 69 行で資産で引く)、辞書に番号の鍵が足され、次の足で SimulationExchange.get_transactions が番号を資産として扱って落ちた。取消の呼び出しで起きたこと: なし。走行の例外: AttributeError: 'ExchangeAsset' object has no attribute 'asset_name'。それまでに記録した値: {}
p6-fill-seen-by-strategy	opp_ziplime@label=close	結果なし	結果なし	AttributeError: 'ExchangeAsset' object has no attribute 'asset_name'
p7-fill-model-swap	opp_ziplime@label=close	結果なし	結果なし	AttributeError: 'ExchangeAsset' object has no attribute 'asset_name'
p7-cost-model-swap	opp_ziplime@label=close	結果なし	結果なし	AttributeError: 'ExchangeAsset' object has no attribute 'asset_name'
p7-cost-per-unit	opp_ziplime@label=close	結果なし	結果なし	AttributeError: 'ExchangeAsset' object has no attribute 'asset_name'
