格子,entry_s,hold_s,判断,枝,n,含む日数,中央値,p25,p75,負の割合,日等重み平均,日クラスタSE
副,1,30,rule_combo,続く,17110,224,-1.120390,-9.989027,7.213320,0.537347,-1.783677,0.371104
副,1,30,rule_combo,止まる,13052,228,0.440135,-3.792492,4.593596,0.463071,0.165876,0.099617
副,1,30,perfect,続く,17634,227,2.461528,-4.513558,9.820039,0.394862,2.157806,0.377734
副,1,30,perfect,止まる,12528,228,3.600200,-0.208273,9.011725,0.263330,4.576054,0.259935
主(t0+1s→60s),1,60,rule_1,続く,17634,227,-1.578718,-12.671736,9.377457,0.540944,-1.732618,0.425338
主(t0+1s→60s),1,60,rule_1,止まる,12528,228,0.607055,-5.905275,7.010880,0.471823,0.177057,0.173788
主(t0+1s→60s),1,60,rule_2,続く,21407,228,-1.162580,-10.652645,8.098551,0.535572,-1.354198,0.337649
主(t0+1s→60s),1,60,rule_2,止まる,8755,228,0.775507,-6.729491,7.854201,0.465563,0.268001,0.263742
主(t0+1s→60s),1,60,rule_3,続く,12620,228,-0.999927,-9.710305,8.055654,0.532647,-0.984877,0.356046
主(t0+1s→60s),1,60,rule_3,止まる,17542,228,1.049376,-7.426447,9.766417,0.462547,1.055963,0.301986
主(t0+1s→60s),1,60,rule_4,続く,15931,225,-1.709769,-13.321479,9.749041,0.541397,-1.919065,0.459273
主(t0+1s→60s),1,60,rule_4,止まる,14231,228,0.621059,-5.988922,7.068879,0.470592,0.211523,0.178436
主(t0+1s→60s),1,60,rule_5,続く,17518,220,-1.543823,-12.648159,9.249256,0.540416,-1.794381,0.425731
主(t0+1s→60s),1,60,rule_5,止まる,12644,228,0.624389,-6.008657,6.980188,0.471370,0.297201,0.195525
主(t0+1s→60s),1,60,rule_6,続く,18935,227,-1.236287,-10.392702,7.935550,0.538157,-1.470813,0.343235
主(t0+1s→60s),1,60,rule_6,止まる,11227,226,0.724960,-7.293125,8.693198,0.469137,0.614314,0.422050
主(t0+1s→60s),1,60,rule_8,続く,12137,133,-1.338574,-10.525209,7.952279,0.542556,-1.250852,0.422385
主(t0+1s→60s),1,60,rule_8,止まる,2797,129,0.858101,-5.052287,7.322290,0.456203,0.488049,0.538713
