draw,null_A_futures,null_B_futures,null_A_1321,null_B_1321
0,21.771162231433046,31.839948958597212,56.63465743276085,52.31977112449805
1,5.410088307939307,14.419743005639871,69.07290332007663,66.14328357363026
2,10.752955140411903,20.65532036734366,84.27941396420522,82.37293033984818
3,7.8540630123741,16.52351681413708,66.86626337074557,64.59937296450505
4,34.59748433676321,43.798260635247466,81.79859205445293,76.75679007510156
5,22.221975095694983,30.686832257022576,93.99862887852957,92.50986991311805
6,49.76126219386963,58.74216599768661,50.94636795400419,49.205916081438865
7,9.266466836575177,19.686259094910735,39.547907574052104,38.15746911476569
8,3.579630169882677,12.372048696491557,57.91221729939258,54.6980361421292
9,38.51649301899935,47.4720071111925,98.66258163205354,94.86344311184027
10,42.921894415891764,52.2490639544989,146.17017416823754,144.14715927880144
11,55.80320199061212,65.46083227807141,140.01891316998774,136.47936030872387
12,43.3614568864173,52.73220839909458,73.61073860899526,69.4247222543597
13,10.149438547118212,19.217671126511483,67.73210847816297,64.17687490255716
14,10.864185007583954,19.669232967344797,122.19247242532951,119.37599710784762
15,15.226022181257886,24.345831577534724,34.054742101590435,29.851910622159807
16,16.060072078604986,24.461822208542063,163.82114856335195,162.61045920170127
17,54.87317301534788,64.42811050098955,83.06859883824973,80.44343070850319
18,39.08815872441719,47.735260550932736,77.77392755188914,72.75974597400825
19,3.836634793922394,13.351671268661459,138.09869680534848,135.8331672660639
20,8.70059692465944,18.312831181389434,40.79042961187389,38.99115735287434
21,22.69122807935349,31.499967709906052,71.84116315345575,67.97976227094512
22,23.665378722604732,32.578489423339,151.47975691108067,150.85830705440088
23,66.05418550051596,75.39184761191969,68.93641204550447,66.94484931162279
24,14.661622847850612,23.45842768668816,51.4819654482911,47.73317619453105
25,7.625128598680023,16.66171330545732,58.47201739250935,53.98231069469496
26,25.79401279749936,34.41816420086727,53.92562034411105,51.763480709795836
27,17.68756190414257,27.078050366282774,91.24275210843004,88.23388921071005
28,19.287511239952654,28.055868163962078,114.47641477955862,111.63079346653468
29,24.470105943818464,33.968979707167684,45.89894005428609,42.95862405250013
30,16.815927808729857,26.10855252429846,49.795710382412885,46.80893241660746
31,38.79886399715965,48.01890938492639,52.937050920883564,50.68835722970316
32,0.34477188920880786,9.706285464503704,58.133981835078885,52.505591871770164
33,4.909404341980181,15.330903038786762,107.33103393997112,103.69659020558139
34,63.20967616569597,72.52623916314413,42.346532045435126,38.020447122555595
35,0.9284917043055485,9.840822003819213,53.694620959865794,48.48170255531015
36,10.735186729083388,20.56000114505141,121.78347702672097,117.5074142718667
37,6.994405916402871,15.75272229967606,35.267982475344525,33.766748780837084
38,11.166685628441874,19.821656060542917,23.089713198293442,21.650712770142373
39,25.979999958377938,34.440626252706515,71.51336108184445,67.8087579637824
40,12.492163530053976,21.524854739343585,83.26851130406253,79.59025378854075
