scene	viewpoint	kind	class_1	detail_1	digest_1	class_2	detail_2	digest_2	repro	secs_1	secs_2
c2-1-market	C2-1	値	不一致	status.o1: 期待 filled / 出力 open; filled.o1: 期待 1.0 / 出力 0.0; avg_px.o1: 期待 10001.0 / 出力に無い(KeyError: 'no fill for o1')	20364ea7bd638d91	不一致	status.o1: 期待 filled / 出力 open; filled.o1: 期待 1.0 / 出力 0.0; avg_px.o1: 期待 10001.0 / 出力に無い(KeyError: 'no fill for o1')	20364ea7bd638d91	2 回の実行で同じ	0.007	0.005
c2-1-limit	C2-1	値	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-1-postonly	C2-1	値	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-1-ioc	C2-1	値	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に IOC が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に IOC が無い	-	結果なし	0.0	0.0
c2-1-fok	C2-1	値	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に FOK が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に FOK が無い	-	結果なし	0.0	0.0
c2-1-stop	C2-1	値	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に stop が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に stop が無い	-	結果なし	0.0	0.0
c2-1-reduceonly	C2-1	値	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に reduce_only が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に reduce_only が無い	-	結果なし	0.0	0.0
c2-1-oco	C2-1	値	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-2-cancel	C2-2	値	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に cancel が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に cancel が無い	-	結果なし	0.0	0.0
c2-2-amend-price	C2-2	値	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に amend が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に amend が無い	-	結果なし	0.0	0.0
c2-2-amend-qty	C2-2	能力	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に amend が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に amend が無い	-	結果なし	0.0	0.0
c2-2-partial	C2-2	能力	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に cancel が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に cancel が無い	-	結果なし	0.0	0.0
c2-3-tick	C2-3	値	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-3-minqty	C2-3	値	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 渡せるのは成行の買い 1 本だけ(項目0 の driver の戦略が出す注文。道具の模擬の取引所は成行だけを受け、取消は unimplemented!())	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 渡せるのは成行の買い 1 本だけ(項目0 の driver の戦略が出す注文。道具の模擬の取引所は成行だけを受け、取消は unimplemented!())	-	結果なし	0.0	0.0
c2-3-round	C2-3	能力	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-3-stp	C2-3	値	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-3-jpx-session	C2-3	値	不一致	filled.o1: 期待 100.0 / 出力 0.0; avg_px.o1: 期待 1510.0 / 出力に無い(KeyError: 'no fill for o1'); first_fill_t.o1: 期待 ge 1767670200000000000 / 出力に無い(KeyError: 'no fill for o1')	20364ea7bd638d91	不一致	filled.o1: 期待 100.0 / 出力 0.0; avg_px.o1: 期待 1510.0 / 出力に無い(KeyError: 'no fill for o1'); first_fill_t.o1: 期待 ge 1767670200000000000 / 出力に無い(KeyError: 'no fill for o1')	20364ea7bd638d91	2 回の実行で同じ	0.007	0.005
c2-3-jpx-limit	C2-3	値	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-3-fx-weekend	C2-3	値	不一致	filled.o1: 期待 10000.0 / 出力 0.0; avg_px.o1: 期待 150.103 / 出力に無い(KeyError: 'no fill for o1'); first_fill_t.o1: 期待 ge 1768168800000000000 / 出力に無い(KeyError: 'no fill for o1')	20364ea7bd638d91	不一致	filled.o1: 期待 10000.0 / 出力 0.0; avg_px.o1: 期待 150.103 / 出力に無い(KeyError: 'no fill for o1'); first_fill_t.o1: 期待 ge 1768168800000000000 / 出力に無い(KeyError: 'no fill for o1')	20364ea7bd638d91	2 回の実行で同じ	0.006	0.006
c2-4-reject	C2-4	値	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	0.0	0.0
c2-4-timeout	C2-4	値	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	0.0	0.0
c2-4-unknown	C2-4	値	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 拒否・時間切れ・状態不明を注入する口が無い	-	結果なし	0.0	0.0
c2-4-kill	C2-4	値	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に kill が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に kill が無い	-	結果なし	0.0	0.0
c2-5-tier0	C2-5	能力	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-5-tier1	C2-5	能力	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-5-tier2	C2-5	能力	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-5-tier3	C2-5	能力	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-5-tier4	C2-5	能力	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-5-tier5	C2-5	能力	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-5-queue-value	C2-5	値	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-5-tier6	C2-5	能力	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 約定の模型を選ぶ口が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 約定の模型を選ぶ口が無い	-	結果なし	0.0	0.0
c2-6-none	C2-6	能力	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-6-discount-at-entry	C2-6	能力	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-6-snapshot-cap	C2-6	能力	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-6-l3	C2-6	能力	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-6-prob	C2-6	能力	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-6-prob-power2	C2-6	値	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 公開の口に limit が無い	-	結果なし	0.0	0.0
c2-7-walk	C2-7	値	不一致	filled.o1: 期待 1.5 / 出力 0.0; avg_px.o1: 期待 10002.266666666666 / 出力に無い(KeyError: 'no fill for o1'); status.o1: 期待 filled / 出力 canceled	452404640a45a3ae	不一致	filled.o1: 期待 1.5 / 出力 0.0; avg_px.o1: 期待 10002.266666666666 / 出力に無い(KeyError: 'no fill for o1'); status.o1: 期待 filled / 出力 canceled	452404640a45a3ae	2 回の実行で同じ	0.008	0.005
c2-7-walk-exhaust	C2-7	値	不一致	filled.o1: 期待 1.2 / 出力 0.0; avg_px.o1: 期待 10001.583333333334 / 出力に無い(KeyError: 'no fill for o1')	452404640a45a3ae	不一致	filled.o1: 期待 1.2 / 出力 0.0; avg_px.o1: 期待 10001.583333333334 / 出力に無い(KeyError: 'no fill for o1')	452404640a45a3ae	2 回の実行で同じ	0.007	0.006
c2-7-impact-sqrt	C2-7	能力	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 約定の模型を選ぶ口が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 約定の模型を選ぶ口が無い	-	結果なし	0.0	0.0
c2-7-impact-permanent	C2-7	能力	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 約定の模型を選ぶ口が無い	-	結果なし	adapter: barter-rs(barter 0.14) backtest + ExecutionConfig::Mock: 約定の模型を選ぶ口が無い	-	結果なし	0.0	0.0
