target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1	provenance_1
opp_quanttrader	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""book_snapshot"", 1700092800000000000], [""trade"", 1700179200000000000], [""book_delta"", 1700265600000000000], [""book_snapshot"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	型の選び方(runner、第 r7-1 回): 対象の型 ['bar'] は 1 種で、この場面の最低 2 種に足りない(同じ実行の p3 の結果: p3-trade: not_supported / p3-book_snapshot: not_supported / p3-book_delta: not_supported / p3-bar: ok 受けた型 ['bar'] / p3-funding: not_supported / p3-liquidation: not_supported)	null
opp_quanttrader	p1-one-call-per-event	P0-1	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000], ""raw"": {""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}}"	ok	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000], ""raw"": {""sequence"": [[""bar"", 1700092800000000000], [""bar"", 1700179200000000000], [""bar"", 1700265600000000000], [""bar"", 1700352000000000000], [""bar"", 1700438400000000000]]}}"	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000]}"	足 5 本。on_tick の各回に tick.timestamp	"{""carriers"": [{""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/backtest_engine.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/event/backtest_event_engine.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""quanttrader.data.tick_event.TickEvent"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/data/tick_event.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/backtest_engine.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/event/backtest_event_engine.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""quanttrader.data.tick_event.TickEvent"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/data/tick_event.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/backtest_engine.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/event/backtest_event_engine.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""quanttrader.data.tick_event.TickEvent"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/data/tick_event.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/backtest_engine.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/event/backtest_event_engine.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""quanttrader.data.tick_event.TickEvent"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/data/tick_event.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/backtest_engine.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/event/backtest_event_engine.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""quanttrader.data.tick_event.TickEvent"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/data/tick_event.py""}]}"
opp_quanttrader	p1-typed-events	P0-1	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000]]}"	型の選び方(runner、第 r7-1 回): 対象の型 ['bar'] は 1 種で、この場面の最低 2 種に足りない(同じ実行の p3 の結果: p3-trade: not_supported / p3-book_snapshot: not_supported / p3-book_delta: not_supported / p3-bar: ok 受けた型 ['bar'] / p3-funding: not_supported / p3-liquidation: not_supported)	null
opp_quanttrader	p2-iso-utc	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	ISO の文字列を最初の列に書いた CSV を read_ohlcv_csv で読んだ -> TypeError: Already tz-aware, use tz_convert to convert.	null
opp_quanttrader	p2-iso-offset	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	ISO の文字列を最初の列に書いた CSV を read_ohlcv_csv で読んだ -> TypeError: Already tz-aware, use tz_convert to convert.	null
opp_quanttrader	p2-event-time-exact	P0-2	value	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400123456789]}"	ok	"{""observed_ts_ns"": [1700006400123456789]}"	"{""observed_ts_ns"": [1700006400123456789]}"	足で渡し、on_tick の tick.timestamp	"{""carriers"": [{""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/backtest_engine.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/event/backtest_event_engine.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""quanttrader.data.tick_event.TickEvent"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/data/tick_event.py""}]}"
opp_quanttrader	p2-one-ns-apart	P0-2	capability	正解と一致	正解と一致	2 回の実行で同じ	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	ok	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	足で渡し、on_tick の tick.timestamp	"{""carriers"": [{""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/backtest_engine.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/event/backtest_event_engine.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""quanttrader.data.tick_event.TickEvent"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/data/tick_event.py""}, {""held_by"": null, ""native_by"": null, ""native_how"": null, ""passed_by"": [""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/backtest_engine.py"", ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/event/backtest_event_engine.py""], ""reached_by"": null, ""returned_by"": null, ""type"": ""quanttrader.data.tick_event.TickEvent"", ""type_file"": ""/tmp/claude-0/-home-user-trade/17c10364-8019-48da-af27-038caa7b187a/scratchpad/bt/venvs/item_0/quanttrader/lib/python3.11/site-packages/quanttrader/data/tick_event.py""}]}"
opp_quanttrader	p3-trade	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	quanttrader の入力は add_data に渡す銘柄ごとの DataFrame(時刻の index)で、刻みはその index の時刻だけ(tick は時刻しか持たない)。trade の型は無い。試したこと: add_data(<['price', 'qty', 'side'] の DataFrame>) で走らせた。on_tick が受け取ったのは (銘柄, 時刻, 価格) = [('PLACEHOLDER', '2023-11-16 00:00:00', 0.0)] で、型と中身は届かない	null
opp_quanttrader	p3-book_snapshot	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	quanttrader の入力は add_data に渡す銘柄ごとの DataFrame(時刻の index)で、刻みはその index の時刻だけ(tick は時刻しか持たない)。book_snapshot の型は無い。試したこと: add_data(<[] の DataFrame>) で走らせた。on_tick が受け取ったのは (銘柄, 時刻, 価格) = [('PLACEHOLDER', '2023-11-16 00:00:00', 0.0)] で、型と中身は届かない	null
opp_quanttrader	p3-book_delta	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	quanttrader の入力は add_data に渡す銘柄ごとの DataFrame(時刻の index)で、刻みはその index の時刻だけ(tick は時刻しか持たない)。book_delta の型は無い。試したこと: add_data(<['side', 'price', 'qty'] の DataFrame>) で走らせた。on_tick が受け取ったのは (銘柄, 時刻, 価格) = [('PLACEHOLDER', '2023-11-16 00:00:00', 0.0)] で、型と中身は届かない	null
