draw,null_mean_quarterly_bps,null_mean_monthly_bps,null_mean_best_of_2_bps,null_sharpe_quarterly,null_sharpe_monthly,null_sharpe_best_of_2
0,-2.787321677730359,-2.562092708615222,-2.562092708615222,-0.3974794549616319,-0.3456635762286326,-0.3456635762286326
1,1.4324590129121963,1.2812468041551006,1.4324590129121963,0.20422319066588296,0.17282321847689372,0.20422319066588296
2,3.0366908271418653,3.728445285118606,3.728445285118606,0.43306669514453117,0.5031760851395507,0.5031760851395507
3,0.04583246075393564,-0.6384907523670929,0.04583246075393564,0.006533689428579353,-0.08611949624603005,0.006533689428579353
4,-4.681018002565977,-5.074819650335227,-4.681018002565977,-0.6679242624334997,-0.6852176919243861,-0.6679242624334997
5,-0.02534621847199281,-1.3916807744339785,-0.02534621847199281,-0.0036132537240722105,-0.18772161678340255,-0.0036132537240722105
6,5.249028081852549,5.5215023262520075,5.5215023262520075,0.7491509073904141,0.7456781664436519,0.7491509073904141
7,-0.7860387224835914,-2.0309635863343716,-0.7860387224835914,-0.11205739681279503,-0.27397855168011226,-0.11205739681279503
8,-0.562777921287768,-0.5910489660892678,-0.562777921287768,-0.08022839873231709,-0.07972036367081603,-0.07972036367081603
9,0.9856255589338411,1.476811175587217,1.476811175587217,0.14051251941096524,0.1992067575946177,0.1992067575946177
10,-1.8884797123681567,-2.8146001175756328,-1.8884797123681567,-0.2692544662262785,-0.37975208374621583,-0.2692544662262785
11,0.8042203802394127,2.4466549231283006,2.4466549231283006,0.1146495071709999,0.3300813498346499,0.3300813498346499
12,-1.9506419667726407,-1.95076082889062,-1.9506419667726407,-0.27812019638042257,-0.2631556204762264,-0.2631556204762264
13,-2.64485546555392,-3.49759252041059,-2.64485546555392,-0.37715108044418777,-0.47198813677715856,-0.37715108044418777
14,-0.9908851148213764,-0.5850971878366702,-0.5850971878366702,-0.141262392908289,-0.07891756793572527,-0.07891756793572527
15,-0.35740027967145016,-0.37392080382438203,-0.35740027967145016,-0.050949801979503634,-0.05043379286895572,-0.05043379286895572
16,0.8506017579623982,0.7819563128874966,0.8506017579623982,0.12126202018712548,0.10547099975053201,0.12126202018712548
17,0.265460516103038,0.6443992386823454,0.6443992386823454,0.0378430819419291,0.08691645918488508,0.08691645918488508
18,1.8336927123735554,1.7466018484927073,1.8336927123735554,0.2614408312363124,0.23560734120726082,0.2614408312363124
19,-1.3933026158376023,-3.527833181168703,-1.3933026158376023,-0.1986398042983551,-0.47607324679293545,-0.1986398042983551
20,0.48787399355058664,0.08922797548383961,0.48787399355058664,0.06955002660153382,0.01203484898473986,0.06955002660153382
21,0.009409844589238452,-0.8280059606648543,0.009409844589238452,0.0013414291070083326,-0.11168256583185837,0.0013414291070083326
22,1.4705313810762015,1.4979884297130155,1.4979884297130155,0.20965207922139084,0.20206388580300783,0.20965207922139084
23,1.63438639871544,0.12266701416646701,1.63438639871544,0.23301771280066333,0.01654502884968246,0.23301771280066333
24,1.8879404192182545,1.9357883611961682,1.9357883611961682,0.2691775521058219,0.26113521403257955,0.2691775521058219
25,4.550961772140025,4.178867646883903,4.550961772140025,0.6493338876890316,0.5640474494695605,0.6493338876890316
