target	scene_id	viewpoint	kind	correctness	correctness_run2	reproducibility	status_1	output_1	status_2	output_2	expected	detail_1	provenance_1	choose	settings_1	types_1
opp_homerun	p1-merge-by-time	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""book_snapshot"", 1700092800000000000], [""trade"", 1700179200000000000], [""book_delta"", 1700265600000000000], [""book_snapshot"", 1700352000000000000], [""trade"", 1700438400000000000]]}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 [] は 0 種で、この場面の最低 2 種に足りない(同じ実行の p3 の採点: p3-trade: 対応なし / p3-book_snapshot: 対応なし / p3-book_delta: 対応なし / p3-bar: 対応なし / p3-funding: 対応なし / p3-liquidation: 対応なし)	null	{}	[]	null
opp_homerun	p1-one-call-per-event	P0-1	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700092800000000000, 1700179200000000000, 1700265600000000000, 1700352000000000000, 1700438400000000000]}"	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
opp_homerun	p1-typed-events	P0-1	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""sequence"": [[""trade"", 1700092800000000000], [""book_snapshot"", 1700179200000000000]]}"	型の選び方(runner、第 r8-1 回): 設定つき対象の持つ型 [] は 0 種で、この場面の最低 2 種に足りない(同じ実行の p3 の採点: p3-trade: 対応なし / p3-book_snapshot: 対応なし / p3-book_delta: 対応なし / p3-bar: 対応なし / p3-funding: 対応なし / p3-liquidation: 対応なし)	null	{}	[]	null
opp_homerun	p2-iso-utc	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
opp_homerun	p2-iso-offset	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	1704067200123456789	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
opp_homerun	p2-event-time-exact	P0-2	value	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700006400123456789]}"	板の写真(BookSnapshot)は再生(InMemoryBookReplay)から検証の engine に入るが、戦略に事象ごとに渡す口が無い(戦略が呼ばれるのは建玉があるときの should_exit と、約定・取消の知らせだけ)。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)。写真の時刻の型は datetime(再生が返した observed_at [datetime.datetime(2023, 11, 15, 0, 0, 0, 123456, tzinfo=datetime.timezone.utc)])	null	{}	[]	null
opp_homerun	p2-one-ns-apart	P0-2	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""observed_ts_ns"": [1700006400000000000, 1700006400000000001]}"	板の写真(BookSnapshot)は再生(InMemoryBookReplay)から検証の engine に入るが、戦略に事象ごとに渡す口が無い(戦略が呼ばれるのは建玉があるときの should_exit と、約定・取消の知らせだけ)。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)。写真の時刻の型は datetime(再生が返した observed_at [datetime.datetime(2023, 11, 15, 0, 0, tzinfo=datetime.timezone.utc)])	null	{}	[]	null
opp_homerun	p3-trade	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012345.0, ""qty"": 0.01, ""side"": ""buy""}, ""sequence"": [[""trade"", 1700092800000000000]]}"	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
opp_homerun	p3-book_snapshot	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""asks"": [[5012500.0, 0.4], [5013000.0, 2.0]], ""bids"": [[5012000.0, 0.5], [5011000.0, 1.0]]}, ""sequence"": [[""book_snapshot"", 1700092800000000000]]}"	板の写真(BookSnapshot)は再生(InMemoryBookReplay)から検証の engine に入るが、戦略に事象ごとに渡す口が無い(戦略が呼ばれるのは建玉があるときの should_exit と、約定・取消の知らせだけ)。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)。写真の時刻の型は datetime(再生が返した observed_at [datetime.datetime(2023, 11, 16, 0, 0, tzinfo=datetime.timezone.utc)])	null	{}	[]	null
opp_homerun	p3-book_delta	P0-3	capability	対応なし	対応なし	2 回の実行で同じ	not_supported	null	not_supported	null	"{""fields"": {""price"": 5012000.0, ""qty"": 0.3, ""side"": ""bid""}, ""sequence"": [[""book_delta"", 1700092800000000000]]}"	homerun の検証は板の写真(BookSnapshot)の列を再生し、入りの注文は走る前に作った TradeIntent の列から出す形で、戦略は建玉があるときの should_exit と約定・取消の知らせにしか呼ばれない。事象ごとに戦略を呼ぶ口・走っている間に戦略が発注する口・約定・足・資金調達・清算・時計の型が無い。試したこと: BacktestEngine(strategy=<記録する戦略>).run(book_source=InMemoryBookReplay(3 枚), trade_intents=[]) -> 戦略が呼ばれた回数 0、約定 0(建玉の無い戦略は事象ごとに呼ばれず、入りは走る前に作った TradeIntent だけ)	null	{}	[]	null
