scene_id	viewpoint	best_target	correctness	reproducibility
p1-merge-by-time	P0-1	opp_basana	正解と一致	2 回の実行で同じ
p1-one-call-per-event	P0-1	opp_backtrader	正解と一致	2 回の実行で同じ
p1-typed-events	P0-1	opp_basana	正解と一致	2 回の実行で同じ
p2-iso-utc	P0-2	opp_backtesting	正解と一致	2 回の実行で同じ
p2-iso-offset	P0-2	opp_backtesting	正解と一致	2 回の実行で同じ
p2-event-time-exact	P0-2	opp_hftbacktest	正解と一致	2 回の実行で同じ
p2-one-ns-apart	P0-2	opp_hftbacktest	正解と一致	2 回の実行で同じ
p3-trade	P0-3	opp_basana	正解と一致	2 回の実行で同じ
p3-book_snapshot	P0-3	opp_basana	正解と一致	2 回の実行で同じ
p3-book_delta	P0-3	opp_basana	正解と一致	2 回の実行で同じ
p3-bar	P0-3	opp_backtrader	正解と一致	2 回の実行で同じ
p3-funding	P0-3	opp_basana	正解と一致	2 回の実行で同じ
p3-liquidation	P0-3	opp_basana	正解と一致	2 回の実行で同じ
p3-mixed-one-run	P0-3	opp_basana	正解と一致	2 回の実行で同じ
p3-clock-timer	P0-3	opp_basana	正解と一致	2 回の実行で同じ
p3-notice-accepted	P0-3	opp_backtrader	正解と一致	2 回の実行で同じ
p3-notice-rejected	P0-3	opp_backtrader	正解と一致	2 回の実行で同じ
p3-notice-filled	P0-3	opp_backtrader	正解と一致	2 回の実行で同じ
p4-visible-at-step	P0-4	opp_backtesting	正解と一致	2 回の実行で同じ
p4-received-time	P0-4	opp_hftbacktest	正解と一致	2 回の実行で同じ
p4-future-read-attempt	P0-4	opp_basana	正解と一致	2 回の実行で同じ
p5-same-time-twice	P0-5	opp_basana	正解と一致	2 回の実行で同じ
p5-hand-over-order	P0-5	opp_basana	正解と一致	2 回の実行で同じ
p5-same-stream-order	P0-5	opp_backtrader	正解と一致	2 回の実行で同じ
p6-place-then-cancel	P0-6	opp_backtrader	正解と一致	2 回の実行で同じ
p6-cancel-notice	P0-6	opp_backtrader	正解と一致	2 回の実行で同じ
p6-fill-seen-by-strategy	P0-6	opp_backtrader	正解と一致	2 回の実行で同じ
p7-fill-model-swap	P0-7	opp_backtrader	正解と一致	2 回の実行で同じ
p7-latency-model-swap	P0-7	opp_hftbacktest	正解と一致	2 回の実行で同じ
p7-cost-model-swap	P0-7	opp_backtesting	正解と一致	2 回の実行で同じ
p7-cost-per-unit	P0-7	opp_backtesting	正解と一致	2 回の実行で同じ
p7-account-swap	P0-7	opp_backtrader	正解と一致	2 回の実行で同じ
