draw,max_mean_net_bps_full,max_mean_net_bps_train,max_mean_net_bps_val,max_sharpe_full,max_sharpe_train,max_sharpe_val
0,-3.378964984214523,-3.5884476001949417,-2.833556877072372,-1.9414086602834624,-1.7990966120218566,-2.4514363882915737
1,-3.509634043803525,-3.3582047872488356,-3.477288548329287,-2.177273058908036,-1.9608155497263164,-3.0720290193319815
2,-3.4065280260494353,-2.674446496103712,-3.3944525201251525,-1.6531075899865537,-1.1852230567456004,-3.3141594135639814
3,-3.3342010895378675,-3.435569219430074,-2.515605230707747,-2.644863501732297,-2.987570751524792,-1.702321475788213
4,-3.26569313803213,-3.061567816759118,-3.2849343863373712,-2.786157701932664,-2.600042621297161,-3.059865506123887
5,-3.5744005659963616,-3.7092916933877906,-3.1688296260086917,-2.6683141243699295,-2.6495208830522703,-2.8324907753485795
6,-3.487313850338524,-3.3849913778563008,-3.583492125164338,-2.8454340185897116,-2.746867703532898,-3.435498344807391
7,-3.576811422642164,-3.6343826981275105,-3.393848947929815,-2.7490443865683263,-2.379489748822002,-4.589502635989218
8,-3.647945639377271,-3.51078274945373,-3.8258879450948484,-2.261164582671311,-1.8908980077000839,-3.281643591771119
9,-3.6331721894567344,-3.85873619472413,-2.974526092710066,-2.552921846621624,-2.8038499603447216,-1.9828844262972145
10,-3.3769010841555493,-3.4742277024179864,-3.137276237812859,-2.779830105594882,-2.2524610274008596,-3.7179459536259842
11,-3.397036555263365,-3.320288577658567,-3.3570101069778127,-2.477774974834906,-2.24141629451998,-3.597343591704
12,-3.687294513961498,-3.6402742597732543,-3.4676216517112173,-3.0707997930130464,-2.910378484904382,-3.6869571606713536
13,-3.6974031016189426,-3.775502537809155,-3.4465935650451787,-2.47104799364315,-2.346432633623439,-3.1161642154080154
14,-3.828073656523762,-3.626270232986501,-3.8339732219377294,-2.8948422433647334,-2.6911359455789006,-3.925451164469078
15,-3.4696484099669993,-3.2569248935556923,-3.6523358872959015,-3.0040881980875516,-2.5349551587834704,-4.432851003136306
16,-3.4690359444687475,-3.3452788392665225,-3.2744262722137725,-2.281455751542746,-2.3491341380385578,-2.280941027611637
17,-3.8355537073525667,-3.977194933147213,-3.404001761716512,-2.3422129935744374,-2.3502885161642477,-2.7684441256321537
18,-1.693303745876005,-0.7991402485925644,-3.4849184893724576,-0.9061317808714453,-0.40131171320687253,-2.6291457910533595
19,-3.7227009224837144,-3.796994431507547,-3.5188973930147442,-2.8869083992148146,-2.9657715116120236,-2.7937535308761197
20,-3.8749869772324517,-3.8725410255561674,-3.785006177266605,-3.334714202755346,-3.0324815911679166,-4.499604708205166
21,-3.682585997619554,-3.572072302144246,-3.7611563045649294,-2.878249123137187,-2.550154722740783,-4.078789471876129
22,-3.624131840036669,-3.6712287023357213,-3.0260501931060304,-3.289022819274665,-3.4126162744084496,-2.834983984697721
23,-3.845690919449142,-3.893007429001173,-3.60033566841361,-2.5313696455863104,-2.4322556705238,-2.9093562182054202
24,-3.6478903187119034,-3.7097763673880535,-3.4469781912984088,-1.9698417882627561,-1.8807653539825717,-2.4025324929457255
25,-2.8832154168865163,-2.6295605198448926,-3.0111237966929547,-2.0980543238156293,-1.7971992121868228,-2.038731551935376
26,-3.6774137195682415,-3.6784035192768196,-3.3711247803923574,-2.451630432032875,-2.6309560301870643,-2.0034973411947337
27,-3.7342505169374465,-3.388224185945227,-3.925065646044784,-2.505258948812523,-2.196459869556765,-3.9668162722438973
28,-3.608249032712729,-3.9747612811269564,-2.709642414227538,-2.936364369542746,-3.2028270774641,-2.2477189554879584
29,-3.5482097155771886,-3.543914846440947,-3.508468920461512,-2.6825336552831405,-2.414947561190177,-3.901622543505263
30,-3.5811041561608596,-3.4314360922440694,-3.4952772527006966,-2.645799756208109,-2.6121703732566592,-3.0827217845366826
31,-3.6086730990336044,-3.6406639893816553,-3.426336466976127,-2.9641400541208838,-2.8711961720713544,-3.585890146499224
32,-3.5035845613096397,-3.649178660668865,-3.10047907173541,-2.907368573040969,-2.6663784200962417,-3.0370253023531615
33,-3.638187436346695,-3.6771408307939963,-3.3656147852188654,-2.8308671115515467,-2.6019702033230483,-3.7135984146302583
34,-3.5273073125483254,-3.7370573442691164,-2.7837884164899975,-2.152656499533021,-2.0979883333491967,-2.4337481479905967
35,-3.593850341157148,-3.741777757725192,-3.2244824383308606,-2.8825777020648187,-2.543248684381395,-4.257914630169729
36,-3.362904849296805,-3.390269569510731,-2.1002661367467126,-2.0199983846177023,-2.24198545003078,-1.4116758899440836
37,-3.4351773994937185,-3.344841653364346,-3.2349419926175167,-2.6853964158494716,-2.4098759312090383,-3.519212259037597
38,-3.68105837619984,-3.637014359113944,-3.799331927784851,-2.730336790383609,-2.3953038691503683,-3.9993750571850444
39,-3.7995372119970336,-3.7653298683496614,-3.5982475364539304,-2.891712159324281,-2.5134173698434643,-4.452027990062144
40,-3.593546175067708,-3.697650646177966,-3.3380278762564615,-2.8205275668218373,-2.8161871131012735,-2.9621003574821945
41,-3.649438109666773,-3.6360940331433165,-3.4843264331353914,-2.6031893358056624,-2.661158599733539,-2.5933232255558516
42,-3.5839986499497454,-3.9469659351734228,-2.6260018753174816,-2.859154218405618,-2.8839152866183806,-2.9716989977683146
43,-3.0887944992596097,-2.9834018223479606,-3.2203946078168593,-3.1491715144401313,-2.6565562813197614,-4.439622550627815
44,-3.516702439524315,-3.451618637393369,-3.3688477918936206,-2.6466951758432233,-2.370823676694393,-3.941296003782598
45,-3.08748051302216,-3.1752667992750707,-2.8830744691422536,-1.787109561647657,-1.6292019711076124,-2.4438880766369158
46,-3.5815292062783923,-2.984256641599745,-3.500435845765547,-1.82193427589686,-1.4004785263708894,-3.497049116122963
