date,open,high,low,close,volume
2005-01-03,3000.0,3052.0068364157573,2989.7441799368785,3040.9396318416448,16112.14663069986
2005-01-04,3042.4637485012554,3053.8206559937753,3001.9536347429657,3008.6321392079453,13329.97469695099
2005-01-05,3009.758188999864,3022.222085334489,2998.973678773051,3014.3222562976184,56666.978791793146
2005-01-06,3010.1882483297777,3027.848670046854,3002.09137374891,3018.1778513275754,14063.188447377144
2005-01-07,3013.167145305121,3028.51905185382,3003.665183186929,3023.7266073528526,19596.298582790303
2005-01-10,3021.940183265186,3063.8675390253725,3018.9179736910496,3054.9057155214314,29728.921182666272
2005-01-11,3060.5075422361747,3069.1276936553413,3030.342235514538,3036.809099736759,12788.328502969947
2005-01-12,3032.856765639244,3040.497965830446,3000.1075848481805,3005.018692077289,27931.033775716987
2005-01-13,3005.740679490009,3018.5423207302633,3003.9943097976916,3010.862814998521,24509.14285682303
2005-01-14,3010.533483238525,3044.482527905671,3006.3152633943646,3035.966415058549,9461.882952916087
2005-01-17,3041.5734291053286,3049.431187106236,3037.858191040038,3040.472409137919,6121.895088072229
2005-01-18,3039.3262794725947,3044.191318310099,2997.3783517574684,3008.667392985854,45127.69157509531
2005-01-19,3016.3406428360026,3047.215894455805,3005.0743079278486,3038.2097028205067,14975.52057501689
2005-01-20,3039.232938652549,3050.2015610187614,3033.5472696889165,3038.0366931255526,26628.647080019775
2005-01-21,3039.7373421603706,3041.877076264529,3015.7440429405096,3024.2903851402834,24849.143160555523
2005-01-24,3024.5167872296747,3026.239395786134,2992.083040530441,2995.893480786038,11524.815177360731
2005-01-25,2995.062119388807,2997.723434609365,2980.395588405452,2983.759837950235,28462.150145431366
2005-01-26,2979.7286324950824,2987.514370854972,2911.49583246779,2914.6878807140224,23130.748911211846
2005-01-27,2919.991664509431,2921.8556410731253,2869.353873849504,2876.482067620003,13371.029060581212
2005-01-28,2878.162112752173,2879.8287509067322,2850.174317644465,2856.0762540823994,15182.220165791558
2005-01-31,2850.7500724911893,2886.564388882529,2845.2737572115066,2880.6809939593795,33216.10403122015
2005-02-01,2886.490823665433,2902.7644001136105,2877.9794033890053,2898.5297143955004,52244.803682690675
