date,open,high,low,close,volume
2024-01-02,999.5,1000.1,999.40005,1000.0,1000000.0
2024-01-03,1000.5,1005.1005,1000.39995,1005.0,1000000.0
2024-01-04,993.0024999999999,1010.101,992.90319975,1010.0,1000000.0
2024-01-05,1010.505,1015.1015,1010.4039495,1015.0,1000000.0
2024-01-08,1015.5074999999999,1020.102,1015.4059492499999,1020.0,1000000.0
2024-01-09,1012.51,1025.1025,1012.4087490000001,1025.0,1000000.0
2024-01-10,1025.5125,1030.103,1025.40994875,1030.0,1000000.0
2024-01-11,1010.2649999999999,1035.1035,1010.1639734999999,1035.0,1000000.0
2024-01-12,1035.5175,1040.104,1035.41394825,1040.0,1000000.0
2024-01-15,1040.52,1045.1045,1040.415948,1045.0,1000000.0
2024-01-16,1045.5225,1050.105,1045.41794775,1050.0,1000000.0
2024-01-17,1050.5249999999999,1055.1055,1050.4199474999998,1055.0,1000000.0
